,start,end,vis_group_4.substrateProduct_ratio,vis_group_4.spearman.ppcor_pvalue,vis_group_4.spearman.ppcor,vis_group_2.substrateProduct_ratio,vis_group_2.spearman.ppcor_pvalue,vis_group_2.spearman.ppcor,vis_group_1.substrateProduct_ratio,vis_group_1.spearman.ppcor_pvalue,vis_group_1.spearman.ppcor,split_group_4.substrateProduct_ratio,split_group_4.spearman.ppcor_pvalue,split_group_4.spearman.ppcor,split_group_2.substrateProduct_ratio,split_group_2.spearman.ppcor_pvalue,split_group_2.spearman.ppcor,split_group_1.substrateProduct_ratio,split_group_1.spearman.ppcor_pvalue,split_group_1.spearman.ppcor,k_2013_group_4.substrateProduct_ratio,k_2013_group_4.spearman.ppcor_pvalue,k_2013_group_4.spearman.ppcor,k_2013_group_2.substrateProduct_ratio,k_2013_group_2.spearman.ppcor_pvalue,k_2013_group_2.spearman.ppcor,k_2013_group_1.substrateProduct_ratio,k_2013_group_1.spearman.ppcor_pvalue,k_2013_group_1.spearman.ppcor,k_2010_group_4.substrateProduct_ratio,k_2010_group_4.spearman.ppcor_pvalue,k_2010_group_4.spearman.ppcor,k_2010_group_2.substrateProduct_ratio,k_2010_group_2.spearman.ppcor_pvalue,k_2010_group_2.spearman.ppcor,k_2010_group_1.substrateProduct_ratio,k_2010_group_1.spearman.ppcor_pvalue,k_2010_group_1.spearman.ppcor
35,190,200,0.423024035,2.88E-50,0.661943125,0.420212069,1.22E-37,0.595463372,0.440764204,3.79E-48,0.657444173,0.420872877,2.06E-150,0.71058953,0.42271798,7.97E-122,0.660666954,0.442751141,2.69E-111,0.63824928,0.430442263,8.48E-103,0.710466477,0.425818864,1.29E-68,0.61330052,0.44684438,1.39E-91,0.685305301,0.41376661,6.57E-83,0.727163793,0.417134704,3.64E-55,0.629733265,0.437131758,2.53E-42,0.564461663
36,190,201,0.213602524,5.27E-16,-0.39582365,0.213310059,2.83E-12,-0.349099109,0.219741084,3.78E-10,-0.314932589,0.209312437,1.69E-40,-0.408847199,0.214802027,5.29E-50,-0.453422731,0.219249481,1.06E-40,-0.411766823,0.215100635,3.59E-58,-0.569471072,0.216221126,1.49E-19,-0.34402817,0.221405336,1.05E-34,-0.455447966,0.21220731,1.67E-42,-0.560761251,0.211763349,3.15E-27,-0.462861904,0.217711244,1.49E-09,-0.269566257
37,195,176,2.249607568,2.39E-51,0.667343273,2.264440448,1.24E-50,0.670221653,2.195944562,3.42E-55,0.69211566,2.251329016,5.78E-105,0.621308178,2.253835995,4.28E-88,0.581202033,2.186532433,6.19E-111,0.63744516,2.22649379,1.79E-59,0.574793642,2.246571025,8.32E-77,0.641270751,2.170705538,4.10E-79,0.648656916,2.278936426,2.71E-69,0.682106989,2.272180885,3.93E-53,0.620357076,2.208948801,1.48E-55,0.631507308
38,195,182,1.307837793,3.45E-57,0.694677259,1.3061317,2.39E-50,0.668786789,1.29147824,7.39E-53,0.68114595,1.309056161,2.62E-109,0.631285555,1.306979358,8.94E-138,0.691302159,1.290986753,2.23E-135,0.686931543,1.307193827,3.13E-86,0.66646703,1.308748178,1.16E-145,0.798922623,1.29109459,4.28E-90,0.68119915,1.318518506,7.15E-80,0.717837456,1.309101369,2.06E-73,0.701667391,1.294469194,6.10E-77,0.713464761
39,195,189,1.104357375,3.56E-13,-0.357998664,1.11202826,8.01E-15,-0.385259536,1.087149198,2.40E-13,-0.364870323,1.103842317,5.25E-38,-0.39661958,1.109197609,1.98E-28,-0.345780934,1.081799268,5.52E-47,-0.440526328,1.089270036,2.72E-30,-0.424167218,1.10421713,4.47E-12,-0.26665131,1.071539383,4.86E-30,-0.42540215,1.117292272,6.03E-14,-0.328204424,1.113210714,1.44E-10,-0.285200106,1.092444047,3.44E-15,-0.346573583
40,195,190,1.056204589,0.67956758,-0.021035151,1.058314193,0.000398445,-0.181224971,1.004431362,2.08E-07,-0.263188072,1.043111453,3.02E-18,-0.274239352,1.042617221,8.12E-24,-0.316297656,0.99001648,1.58E-17,-0.269827811,1.041764106,8.31E-16,-0.30590089,1.04592654,0.024605903,-0.088018245,0.992351403,1.97E-12,-0.270911515,1.063747906,0.018718067,-0.105432588,1.059306943,0.025302493,-0.101356271,1.011059389,0.004596886,-0.128219977
41,195,195,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
42,195,197,0.544392375,0.039919573,-0.104357255,0.539805209,0.153998095,0.073466614,0.524135872,0.340923783,0.049116265,0.534583649,0.01203312,0.080477307,0.531068063,4.03E-07,0.162424117,0.514919569,6.51E-09,0.185617321,0.533491415,1.64E-07,0.201786048,0.532389391,0.065729569,-0.072114802,0.514530104,1.32E-12,0.272996707,0.55234133,0.034552504,-0.094831353,0.53908035,0.904256237,-0.005464702,0.527196824,0.915517376,0.004819386
43,195,199,0.478458939,9.58E-49,0.654151795,0.484912866,6.49E-62,0.721175466,0.476415817,4.96E-45,0.640484322,0.475626641,1.00E-141,0.695800932,0.487188736,3.45E-91,0.589509242,0.475289561,2.09E-167,0.739559537,0.475791892,1.61E-129,0.767404085,0.486784148,8.37E-33,0.443562458,0.47521756,8.48E-98,0.701749017,0.47767281,3.38E-80,0.718854207,0.483995544,2.46E-64,0.668393186,0.475502068,9.34E-64,0.666114035
44,195,200,0.446700267,3.12E-14,0.372715057,0.444671527,5.30E-19,0.436346597,0.442660319,1.17E-18,0.43247124,0.438884976,7.34E-95,0.596606217,0.440693316,1.41E-107,0.629857867,0.438275452,2.59E-97,0.605274392,0.448278097,4.49E-73,0.625186831,0.44533224,6.36E-34,0.450612781,0.443380792,6.70E-46,0.517285304,0.440014368,5.75E-31,0.487039877,0.441824522,9.14E-28,0.467128394,0.441906249,1.53E-26,0.457315012
