,1A,2A,3A,4A,5A,6A,1B,2B,3B,4B,5B,6B,1C,2C,3C,4C,5C,6C,1D,2D,3D,4D,5D,6D
a-L-Fucx-(1-2)-?-D-Galx-(1-?)-b-D-Glcx2NAc-(1-6)-[b-D-Galx-(1-3)]?-D-Galx2NAc,2.3801804299018854,2.406890094599868,1.8736786612411085,2.2256354709696926,1.6923742408270994,2.401992446783335,2.6087282245801218,2.0488637950587942,1.7019178708110132,1.9027068721951377,1.8913216978205447,1.5311408941679787,2.21280815223959,2.3844009601195597,2.0802342393964075,1.9827855316496998,1.8415465037327257,2.359977394203739,2.19420815089563,1.7528949850545985,1.846774577783856,2.83426062373542,2.124182410337905,1.5224639673134666
b-D-Glcx2NAc-(1-6)-[?-D-Galx-(1-?)-?-D-Glcx2NAc-(1-?)-b-D-Galx-(1-3)]?-D-Galx2NAc,3.870625520915077,3.774391959515969,4.209310212479053,3.756917598323514,4.122755663782641,4.786629982797083,3.0681028005691635,3.6951547634720887,4.190497165217398,2.736789835888904,4.672106737511733,3.6572773188957832,3.4364576111868823,3.92730882308005,4.762162539432105,4.236374748005355,3.8288264624372568,4.626808639348663,2.7963494120865366,2.8379596058653282,3.3347306537406727,3.97894712009048,3.625180626083557,3.917473890869304
?-L-Fucx-(1-?)-b-D-Glcx2NAc-(1-6)-[?-L-Fucx-(1-?)-b-D-Galx-(1-3)]?-D-Galx2NAc,0.7749399706057105,0.9438439446678978,1.2250762434379279,1.2112619576994477,0.7844405329797853,0.5350192281479114,0.387677964390821,1.2705059798325016,0.8570496576537233,0.5377556900055109,0.7495062335435632,0.3171956427256768,0.7542768136084795,0.8343539042960294,1.16550341558526,0.8628092169990138,0.8958088076649545,0.5510297102175268,0.7489117872605551,0.5134846717904131,1.0464956165767896,0.7495062335435632,1.0071509456149668,0.34481358264053497
b-D-Galx-(1-4)-b-D-Glcx2NAc-(1-6)-[a-D-Glcx2NAc-(1-4)-b-D-Galx-(1-3)]?-D-Galx2NAc,3.484680858493462,1.7007874654948727,2.705518788320186,1.5796958564366286,3.16385861044721,2.56063081435322,1.9963078372612173,2.1955288988452693,3.443080303192044,1.6978841554380997,3.522269429000678,2.649619260207901,3.1776103355978567,1.8912164147267407,2.8177332056809803,2.3649703053644937,2.727949610747683,2.7964831147044404,2.285567076093024,1.7012696894935668,2.164255469736555,3.5722082517204363,2.5788281109385944,2.6194337331407116
b-D-Glcx2NAc-(1-3)-b-D-Galx-(1-4)-b-D-Glcx2NAc-(1-6)-[b-D-Galx-(1-3)]?-D-Galx2NAc,1.4452348291323591,0.9162094832933622,1.0988896357129658,1.2043031456554432,1.7129853738122307,1.2851688883124837,0.8127989879739825,1.1640681664469654,1.402968676856683,0.7261042536236559,1.7113949198696845,1.1345351522068787,1.0300064377067868,1.0411180803058158,1.49567286576408,1.965863562565256,1.2189050888584871,1.1114421123390046,0.8445082596364013,1.1355513924092209,0.9816459051054832,1.5358386905252013,1.0431897382778872,1.2386507217753049
a-L-Fucx-(1-4)-[b-D-Galx-(1-3)]b-D-Glcx2NAc-(1-6)-[b-D-Galx-(1-3)]?-D-Galx2NAc,1.7136115520392765,1.1475963359466643,1.7830775690217842,0.8777247145604151,1.6135870777093584,1.2024602268671225,2.159757862543928,2.3964392763319187,3.5308415942328955,3.7918703407092913,1.4992303623688492,1.831858857460475,1.5198088341715734,1.1796800880602487,1.9037862991002856,2.149928574692958,1.6126173893116422,1.2451096435910962,1.0045896765285,1.8126170650754527,3.174227883125892,2.408066140721892,1.9408709159404247,1.9070008430403869
b-D-Galx-(1-4)-b-D-Glcx2NAc-(1-6)-[a-D-Neux5Ac-(2-3)-b-D-Galx-(1-3)]?-D-Galx2NAc,1.0450044878256168,1.15947328162778,0.8503189227662955,1.2992534455532865,1.2487892912391914,1.3778613847462675,5.162919208282787,1.2099040704081294,1.0341164262376763,4.305084509650392,1.0298669304340995,2.4728011261113223,1.1075018007688908,1.3616091545440208,1.0778801630490942,1.1902521759199711,1.2741287362007776,1.1917966679917882,1.133238001039997,3.3340841689280243,2.1337345011793194,1.8881440374937648,0.6573122857242848,2.33340292137088
a-L-Fucx-(1-2)-b-D-Galx-(1-3)-b-D-Glcx2NAc-(1-6)-[b-D-Galx-(1-3)]?-D-Galx2NAc,1.8906642800322568,0.8601350601397769,1.6437824325203392,0.6207268754036013,0.6105630346788001,0.8857255973881779,0.7750420532595007,2.0798415559757357,3.0130414185220324,1.6631243319968545,0.6302447447281645,0.9021336329457346,2.074042605816288,0.8309326747803751,1.6084798827541251,0.7781822726231697,1.160209010228855,0.9118156415539662,1.3611849386375052,1.01145989550435,2.497417523508774,1.5102270124398642,1.8184318085526985,1.0497588120855292
b-D-Glcx2NAc-(1-6)-[a-D-Neux5Ac-(2-3)-[a-L-Fucx-(1-2)]b-D-Galx-(1-3)]?-D-Galx2NAc,0.449415661046548,0.2816314220117121,0.28132623896359843,0.2757617425021344,0.2864317543598698,0.29184066055591784,1.0884381903154816,0.2828545986009151,0.2902764284635212,0.3154055529132823,0.316195573745944,0.382632395994127,0.6171286688639857,0.28454287030877234,0.300116309656305,0.2942381936268293,0.3057573330186154,0.29184066055591784,0.3106968203809679,0.3194126495104617,0.32711584618859124,0.9141694483152172,0.3223588376853885,0.4374067620396637
a-D-Neux5Ac-(2-6)-[a-D-Galx2NAc-(1-3)-[a-L-Fucx-(1-2)]b-D-Galx-(1-3)]?-D-Galx2NAc,0.546359130567587,0.29732527550495397,0.3334841700661623,0.27478603094630216,0.28875731459004306,0.30180033212854074,0.7050909713985352,0.2851971491677552,0.3632909595112381,0.31983227193621644,0.2877866351584196,0.40318368329800747,0.5051372422396532,0.2956204448330864,0.3019208903110025,0.3499134716181315,0.5533776409137985,0.4543827202347094,0.2848891146786452,0.28550543018305385,0.4235619068396828,0.3843730038339616,0.3587270078488201,0.3946029299670569
