,enzyme,index_source,index_target,node_source_linear,node_target_linear
2149,A6SIAT,743,900,GNb3Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?,GNb3Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(NNa6Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?
2150,A6SIAT,743,902,GNb3Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?,GNb3Ab4GNb3Ab4GNb6(NNa6Ab4GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?
2151,B4GALT,743,920,GNb3Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?,GNb3Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
2152,B4GALT,743,923,GNb3Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?,Ab4GNb3Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?
2153,A3SIAT,743,967,GNb3Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?,GNb3Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(NNa3Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?
2154,A3SIAT,743,969,GNb3Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?,GNb3Ab4GNb3Ab4GNb6(NNa3Ab4GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?
2155,A6SIAT,744,903,Ab4GNb3Ab4GNb3Ab4GNb6(GNb2)Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,Ab4GNb3Ab4GNb3Ab4GNb6(GNb2)Ma6(GNb4(NNa6Ab4GNb2)Ma3)Mb4GNb4GN?
2156,A6SIAT,744,908,Ab4GNb3Ab4GNb3Ab4GNb6(GNb2)Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,NNa6Ab4GNb3Ab4GNb3Ab4GNb6(GNb2)Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
2157,B4GALT,744,921,Ab4GNb3Ab4GNb3Ab4GNb6(GNb2)Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,Ab4GNb3Ab4GNb3Ab4GNb6(GNb2)Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
2158,B4GALT,744,922,Ab4GNb3Ab4GNb3Ab4GNb6(GNb2)Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,Ab4GNb3Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
2159,A3SIAT,744,970,Ab4GNb3Ab4GNb3Ab4GNb6(GNb2)Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,Ab4GNb3Ab4GNb3Ab4GNb6(GNb2)Ma6(GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?
2160,A3SIAT,744,975,Ab4GNb3Ab4GNb3Ab4GNb6(GNb2)Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,NNa3Ab4GNb3Ab4GNb3Ab4GNb6(GNb2)Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
2161,A6SIAT,745,904,Ab4GNb3Ab4GNb3Ab4GNb6(GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?,Ab4GNb3Ab4GNb3Ab4GNb6(GNb2)Ma6(NNa6Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?
2162,A6SIAT,745,909,Ab4GNb3Ab4GNb3Ab4GNb6(GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?,NNa6Ab4GNb3Ab4GNb3Ab4GNb6(GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?
2163,B4GALT,745,921,Ab4GNb3Ab4GNb3Ab4GNb6(GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?,Ab4GNb3Ab4GNb3Ab4GNb6(GNb2)Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
2164,B4GALT,745,923,Ab4GNb3Ab4GNb3Ab4GNb6(GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?,Ab4GNb3Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?
2165,A3SIAT,745,971,Ab4GNb3Ab4GNb3Ab4GNb6(GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?,Ab4GNb3Ab4GNb3Ab4GNb6(GNb2)Ma6(NNa3Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?
2166,A3SIAT,745,976,Ab4GNb3Ab4GNb3Ab4GNb6(GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?,NNa3Ab4GNb3Ab4GNb3Ab4GNb6(GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?
2167,A6SIAT,746,905,Ab4GNb3Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4GN?,Ab4GNb3Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(NNa6Ab4GNb2Ma3)Mb4GNb4GN?
2168,A6SIAT,746,906,Ab4GNb3Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4GN?,Ab4GNb3Ab4GNb3Ab4GNb6(NNa6Ab4GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4GN?
2169,A6SIAT,746,910,Ab4GNb3Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4GN?,NNa6Ab4GNb3Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4GN?
2170,A3SIAT,746,972,Ab4GNb3Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4GN?,Ab4GNb3Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(NNa3Ab4GNb2Ma3)Mb4GNb4GN?
2171,A3SIAT,746,973,Ab4GNb3Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4GN?,Ab4GNb3Ab4GNb3Ab4GNb6(NNa3Ab4GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4GN?
2172,A3SIAT,746,977,Ab4GNb3Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4GN?,NNa3Ab4GNb3Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb2Ma3)Mb4GNb4GN?
2173,A6SIAT,747,907,Ab4GNb3Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?,Ab4GNb3Ab4GNb3Ab4GNb6(NNa6Ab4GNb2)Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?
2174,A6SIAT,747,911,Ab4GNb3Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?,NNa6Ab4GNb3Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?
2175,B4GALT,747,922,Ab4GNb3Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?,Ab4GNb3Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
2176,B4GALT,747,923,Ab4GNb3Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?,Ab4GNb3Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?
2177,A3SIAT,747,974,Ab4GNb3Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?,Ab4GNb3Ab4GNb3Ab4GNb6(NNa3Ab4GNb2)Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?
2178,A3SIAT,747,978,Ab4GNb3Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?,NNa3Ab4GNb3Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(GNb4(GNb2)Ma3)Mb4GNb4GN?
2179,B4GALT,749,925,GNb6(NNa3Ab4GNb2)Ma6(NNa3Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?,Ab4GNb6(NNa3Ab4GNb2)Ma6(NNa3Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?
2180,A3SIAT,750,924,GNb6(Ab4GNb2)Ma6(NNa3Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,GNb6(NNa3Ab4GNb2)Ma6(NNa3Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
2181,B4GALT,750,926,GNb6(Ab4GNb2)Ma6(NNa3Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,Ab4GNb6(Ab4GNb2)Ma6(NNa3Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
2182,A3SIAT,751,924,GNb6(NNa3Ab4GNb2)Ma6(Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,GNb6(NNa3Ab4GNb2)Ma6(NNa3Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
2183,B4GALT,751,927,GNb6(NNa3Ab4GNb2)Ma6(Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,Ab4GNb6(NNa3Ab4GNb2)Ma6(Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
2184,A3SIAT,752,924,GNb6(NNa3Ab4GNb2)Ma6(NNa3Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,GNb6(NNa3Ab4GNb2)Ma6(NNa3Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
2185,B4GALT,752,928,GNb6(NNa3Ab4GNb2)Ma6(NNa3Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,Ab4GNb6(NNa3Ab4GNb2)Ma6(NNa3Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
2186,B4GALT,753,926,Ab4GNb6(GNb2)Ma6(NNa3Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,Ab4GNb6(Ab4GNb2)Ma6(NNa3Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
2187,IGNT,753,929,Ab4GNb6(GNb2)Ma6(NNa3Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,GNb3Ab4GNb6(GNb2)Ma6(NNa3Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
2188,A3SIAT,753,1011,Ab4GNb6(GNb2)Ma6(NNa3Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,NNa3Ab4GNb6(GNb2)Ma6(NNa3Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
2189,B4GALT,754,927,Ab4GNb6(NNa3Ab4GNb2)Ma6(GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,Ab4GNb6(NNa3Ab4GNb2)Ma6(Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
2190,IGNT,754,930,Ab4GNb6(NNa3Ab4GNb2)Ma6(GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,GNb3Ab4GNb6(NNa3Ab4GNb2)Ma6(GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
2191,A3SIAT,754,1012,Ab4GNb6(NNa3Ab4GNb2)Ma6(GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,NNa3Ab4GNb6(NNa3Ab4GNb2)Ma6(GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
2192,B4GALT,755,928,Ab4GNb6(NNa3Ab4GNb2)Ma6(NNa3Ab4GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?,Ab4GNb6(NNa3Ab4GNb2)Ma6(NNa3Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
2193,IGNT,755,931,Ab4GNb6(NNa3Ab4GNb2)Ma6(NNa3Ab4GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?,GNb3Ab4GNb6(NNa3Ab4GNb2)Ma6(NNa3Ab4GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?
2194,A3SIAT,755,1013,Ab4GNb6(NNa3Ab4GNb2)Ma6(NNa3Ab4GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?,NNa3Ab4GNb6(NNa3Ab4GNb2)Ma6(NNa3Ab4GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?
2195,B4GALT,756,932,GNb3Ab4GNb6(NNa3Ab4GNb2)Ma6(NNa3Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?,Ab4GNb3Ab4GNb6(NNa3Ab4GNb2)Ma6(NNa3Ab4GNb2Ma3)Mb4GNb4(Fa6)GN?
2196,A3SIAT,757,925,Ab4GNb6(Ab4GNb2)Ma6(NNa3Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?,Ab4GNb6(NNa3Ab4GNb2)Ma6(NNa3Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?
2197,IGNT,757,933,Ab4GNb6(Ab4GNb2)Ma6(NNa3Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?,GNb3Ab4GNb6(Ab4GNb2)Ma6(NNa3Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?
2198,A3SIAT,757,1014,Ab4GNb6(Ab4GNb2)Ma6(NNa3Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?,NNa3Ab4GNb6(Ab4GNb2)Ma6(NNa3Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?
2199,A3SIAT,758,925,Ab4GNb6(NNa3Ab4GNb2)Ma6(Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?,Ab4GNb6(NNa3Ab4GNb2)Ma6(NNa3Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?
2200,IGNT,758,934,Ab4GNb6(NNa3Ab4GNb2)Ma6(Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?,GNb3Ab4GNb6(NNa3Ab4GNb2)Ma6(Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?
2201,A3SIAT,758,1015,Ab4GNb6(NNa3Ab4GNb2)Ma6(Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?,NNa3Ab4GNb6(NNa3Ab4GNb2)Ma6(Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?
2202,A3SIAT,759,925,Ab4GNb6(NNa3Ab4GNb2)Ma6(NNa3Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,Ab4GNb6(NNa3Ab4GNb2)Ma6(NNa3Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?
2203,IGNT,759,935,Ab4GNb6(NNa3Ab4GNb2)Ma6(NNa3Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,GNb3Ab4GNb6(NNa3Ab4GNb2)Ma6(NNa3Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
2204,A3SIAT,759,1016,Ab4GNb6(NNa3Ab4GNb2)Ma6(NNa3Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?,NNa3Ab4GNb6(NNa3Ab4GNb2)Ma6(NNa3Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
2205,B4GALT,760,933,GNb3Ab4GNb6(GNb2)Ma6(NNa3Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?,GNb3Ab4GNb6(Ab4GNb2)Ma6(NNa3Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?
2206,B4GALT,760,936,GNb3Ab4GNb6(GNb2)Ma6(NNa3Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?,Ab4GNb3Ab4GNb6(GNb2)Ma6(NNa3Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?
2207,B4GALT,761,934,GNb3Ab4GNb6(NNa3Ab4GNb2)Ma6(GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?,GNb3Ab4GNb6(NNa3Ab4GNb2)Ma6(Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?
2208,B4GALT,761,937,GNb3Ab4GNb6(NNa3Ab4GNb2)Ma6(GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?,Ab4GNb3Ab4GNb6(NNa3Ab4GNb2)Ma6(GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4GN?
2209,B4GALT,762,935,GNb3Ab4GNb6(NNa3Ab4GNb2)Ma6(NNa3Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?,GNb3Ab4GNb6(NNa3Ab4GNb2)Ma6(NNa3Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4GN?
2210,B4GALT,762,938,GNb3Ab4GNb6(NNa3Ab4GNb2)Ma6(NNa3Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?,Ab4GNb3Ab4GNb6(NNa3Ab4GNb2)Ma6(NNa3Ab4GNb4(GNb2)Ma3)Mb4GNb4GN?
2211,IGNT,763,939,Ab4GNb3Ab4GNb6(NNa3Ab4GNb2)Ma6(NNa3Ab4GNb2Ma3)Mb4GNb4GN?,GNb3Ab4GNb3Ab4GNb6(NNa3Ab4GNb2)Ma6(NNa3Ab4GNb2Ma3)Mb4GNb4GN?
2212,A3SIAT,763,995,Ab4GNb3Ab4GNb6(NNa3Ab4GNb2)Ma6(NNa3Ab4GNb2Ma3)Mb4GNb4GN?,NNa3Ab4GNb3Ab4GNb6(NNa3Ab4GNb2)Ma6(NNa3Ab4GNb2Ma3)Mb4GNb4GN?
2213,A3SIAT,764,926,Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,Ab4GNb6(Ab4GNb2)Ma6(NNa3Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
2214,A3SIAT,764,927,Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,Ab4GNb6(NNa3Ab4GNb2)Ma6(Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
2215,IGNT,764,942,Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,GNb3Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
2216,A3SIAT,764,1017,Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,NNa3Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
2217,A3SIAT,765,926,Ab4GNb6(Ab4GNb2)Ma6(NNa3Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,Ab4GNb6(Ab4GNb2)Ma6(NNa3Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
2218,A3SIAT,765,928,Ab4GNb6(Ab4GNb2)Ma6(NNa3Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,Ab4GNb6(NNa3Ab4GNb2)Ma6(NNa3Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
2219,IGNT,765,943,Ab4GNb6(Ab4GNb2)Ma6(NNa3Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,GNb3Ab4GNb6(Ab4GNb2)Ma6(NNa3Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
2220,A3SIAT,765,1018,Ab4GNb6(Ab4GNb2)Ma6(NNa3Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,NNa3Ab4GNb6(Ab4GNb2)Ma6(NNa3Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
2221,A3SIAT,766,927,Ab4GNb6(NNa3Ab4GNb2)Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,Ab4GNb6(NNa3Ab4GNb2)Ma6(Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
2222,A3SIAT,766,928,Ab4GNb6(NNa3Ab4GNb2)Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,Ab4GNb6(NNa3Ab4GNb2)Ma6(NNa3Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
2223,IGNT,766,944,Ab4GNb6(NNa3Ab4GNb2)Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,GNb3Ab4GNb6(NNa3Ab4GNb2)Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
2224,A3SIAT,766,1019,Ab4GNb6(NNa3Ab4GNb2)Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,NNa3Ab4GNb6(NNa3Ab4GNb2)Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
2225,A3SIAT,767,929,GNb3Ab4GNb6(GNb2)Ma6(Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,GNb3Ab4GNb6(GNb2)Ma6(NNa3Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
2226,B4GALT,767,942,GNb3Ab4GNb6(GNb2)Ma6(Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,GNb3Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
2227,B4GALT,767,945,GNb3Ab4GNb6(GNb2)Ma6(Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,Ab4GNb3Ab4GNb6(GNb2)Ma6(Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
2228,A3SIAT,768,929,GNb3Ab4GNb6(GNb2)Ma6(NNa3Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,GNb3Ab4GNb6(GNb2)Ma6(NNa3Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
2229,B4GALT,768,943,GNb3Ab4GNb6(GNb2)Ma6(NNa3Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,GNb3Ab4GNb6(Ab4GNb2)Ma6(NNa3Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
2230,B4GALT,768,946,GNb3Ab4GNb6(GNb2)Ma6(NNa3Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,Ab4GNb3Ab4GNb6(GNb2)Ma6(NNa3Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
2231,A3SIAT,769,930,GNb3Ab4GNb6(Ab4GNb2)Ma6(GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,GNb3Ab4GNb6(NNa3Ab4GNb2)Ma6(GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
2232,B4GALT,769,942,GNb3Ab4GNb6(Ab4GNb2)Ma6(GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,GNb3Ab4GNb6(Ab4GNb2)Ma6(Ab4GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
2233,B4GALT,769,947,GNb3Ab4GNb6(Ab4GNb2)Ma6(GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
2234,A3SIAT,770,931,GNb3Ab4GNb6(Ab4GNb2)Ma6(NNa3Ab4GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?,GNb3Ab4GNb6(NNa3Ab4GNb2)Ma6(NNa3Ab4GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?
2235,B4GALT,770,943,GNb3Ab4GNb6(Ab4GNb2)Ma6(NNa3Ab4GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?,GNb3Ab4GNb6(Ab4GNb2)Ma6(NNa3Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
2236,B4GALT,770,948,GNb3Ab4GNb6(Ab4GNb2)Ma6(NNa3Ab4GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?,Ab4GNb3Ab4GNb6(Ab4GNb2)Ma6(NNa3Ab4GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?
2237,A3SIAT,771,930,GNb3Ab4GNb6(NNa3Ab4GNb2)Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,GNb3Ab4GNb6(NNa3Ab4GNb2)Ma6(GNb4(NNa3Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
2238,B4GALT,771,944,GNb3Ab4GNb6(NNa3Ab4GNb2)Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,GNb3Ab4GNb6(NNa3Ab4GNb2)Ma6(Ab4GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
2239,B4GALT,771,949,GNb3Ab4GNb6(NNa3Ab4GNb2)Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?,Ab4GNb3Ab4GNb6(NNa3Ab4GNb2)Ma6(GNb4(Ab4GNb2)Ma3)Mb4GNb4(Fa6)GN?
2240,A3SIAT,772,931,GNb3Ab4GNb6(NNa3Ab4GNb2)Ma6(Ab4GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?,GNb3Ab4GNb6(NNa3Ab4GNb2)Ma6(NNa3Ab4GNb4(GNb2)Ma3)Mb4GNb4(Fa6)GN?
