,EPO127.mgat1.,EPO174.mgat2.,EPO263.mgat2.st3gal4.st3gal6.magt4A.mgat4B.mgat5.,EPO259.mgat2.st3gal4.st3gal6.,EPO261.mgat2.mgat4A.mgat4B.mgat5.,EPO266.fut8.,st3gal4.st3gal6.mgat4a.mgat4b.mgat5,KI_ST6GalNAc1.st3gal4.st3gal6.mgat4a.mgat4b.mgat5,mgat4A.mgat4B.mgat5,B3gnt2.mgat4a.mgat4b.mgat5,B4GalT1.B4GalT3,EPO200.B4galt1.B4galt2.B4galt3.,B4GalT1,B4GalT1.B4GalT2,st3gal4,st3gal4.st3gal6,st3gal6,KI_ST6GalNAc1.st3gal4.st3gal6,st3gal3,B4GalT2,B4GalT3,WT,B3gnt2,B4GalT4,EPO78.mgat4B.,mgat4A.mgat4B,mgat5
332,0.0,0.48765107724645296,0.0,0.01711867666859011,0.0,0.09562739284377789,0.0,0.0,0.0,0.0,0.0,0.0,0.01186365878352068,0.0007680260225287634,0.1290935178933153,0.28466796875000006,0.024571163653222074,0.03414080902666706,0.020201148184918204,0.04774242970439797,0.08631595387458678,0.05687670154492079,0.0,0.05370298565335402,0.5408328826392645,0.06602867409014905,0.01109963861641714
341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3017870496918435,0.7955145118733509,0.4857090937410764,0.720604180471056,0.6508693450371371,0.7407633463541666,0.18480743144628173,0.35551225753918636,0.5484525402512195,0.5521359048305694,0.6448707603404743,0.802177977498606,0.7238865474427613,0.7520356727413726,0.0,0.0,0.0
343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9856074766355141,0.9734315211898058,0.9522696929238985,0.07452487170891461,0.4762532981530343,0.3465901715947146,0.45608698271188475,0.05156988521269413,0.0,0.1641855114270506,0.9182249105766717,0.9263607717874565,0.9847242249459263,1.0000000000000002,0.9835667661626268,1.0,1.0,1.0,0.9221601622256217,0.9683531233866804
344,0.0,1.0,0.0,0.11322690260947617,0.0,0.0,0.0,0.0,0.0,0.0,0.07452487170891461,0.4762532981530343,0.3465901715947146,0.45608698271188475,0.05156988521269413,0.0,0.11981661773038686,0.44060255329048775,0.6743859800578411,0.8196196827685651,0.8785693833459147,0.8934955882835307,0.9406538330105936,0.9355370298565335,0.8447268793942673,0.9221601622256217,0.6678368611254518
351,0.0,0.48765107724645296,0.04172376317157303,0.0,0.04516760024895528,0.07602406517170904,0.0,0.0,0.022814237239188507,0.0,0.0,0.0,0.01186365878352068,0.0007680260225287634,0.020594193112761644,0.0,0.010851834681227357,0.02899351499113037,0.020201148184918204,0.046300468637346784,0.08303615586849572,0.04952930757371995,0.0,0.048468398604110126,0.5408328826392645,0.05973175851150876,0.01109963861641714
400,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9345794392523364,0.7219695328857122,0.6675567423230975,0.003842285773227778,0.0,0.20876924275070743,0.06999578338654297,0.0,0.0,0.03688250141657652,0.4755285427632537,0.5157120041438253,0.7917042177361211,0.7956633781919464,0.7706563453275167,0.8546151801647872,1.0,0.92947539210384,0.4217866163862108,0.8998451213216314
401,0.0,0.0,0.0,0.0,0.0,0.9188807967989867,0.0,0.0,0.0,0.0,0.003842285773227778,0.0,0.20876924275070743,0.13774772604059995,0.05156988521269413,0.0,0.1641855114270506,0.5939744670951232,0.7548236716018475,0.8196196827685651,0.8785693833459147,0.8934955882835307,0.9761552188935718,0.9355370298565335,0.9152514872904274,0.4217866163862108,0.6678368611254518
403,0.0,0.2744788929760028,0.0,0.031352183112136944,0.0,0.8349981289041135,0.0,0.0,0.0,0.0,0.02091338095360891,0.0,0.2563017574829314,0.24679236190590928,0.0,0.0,0.04847267295111523,0.20882891790502223,0.5484525402512195,0.6609589041095889,0.6957336595777911,0.802177977498606,0.8583361810380834,0.9037902287708415,0.1533261222282315,0.6950087160695861,0.5162622612287042
414,0.0,0.0,0.0,0.0,0.0,0.9188807967989867,0.0,0.0,0.0,0.0,0.003842285773227778,0.0,0.20876924275070743,0.13774772604059995,0.8476958136394328,0.907958984375,0.3419358162056354,0.5939744670951232,0.7548236716018475,0.8196196827685651,0.8785693833459147,0.8934955882835307,0.9761552188935718,0.9355370298565335,0.9152514872904274,0.9747411860969796,0.6678368611254518
416,0.0,0.0,0.0,0.0,0.0,0.5952387806212038,0.0,0.0,0.0,0.0,0.048479847340055185,0.2717678100263852,0.29550115521403914,0.45608698271188475,0.05156988521269413,0.0,0.10115214890365563,0.35551225753918636,0.5484525402512195,0.5521359048305694,0.6448707603404743,0.802177977498606,0.7238865474427613,0.7520356727413726,0.0,0.0,0.0
422,0.0,0.0,0.10305722251098615,0.0,0.0,0.019603327672068856,0.020968625303184413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005443956785955435,0.06070963541666667,0.0,0.005147294035536686,0.0,0.0014419610670511893,0.0032797980060910534,0.00734739397120084,0.0,0.005234587049243893,0.0,0.006296915578640292,0.0
426,0.0,0.0,0.0,0.0,0.0,0.0,0.15867303027932084,0.0,0.022814237239188507,0.0,0.0,0.0,0.01186365878352068,0.0007680260225287634,0.1290935178933153,0.28466796875000006,0.024571163653222074,0.03414080902666706,0.020201148184918204,0.04774242970439797,0.08631595387458678,0.05687670154492079,0.0,0.05370298565335402,0.5408328826392645,0.06602867409014905,0.01109963861641714
439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003842285773227778,0.0,0.20876924275070743,0.13774772604059995,0.8722569209993247,0.9426676432291667,0.395405140884974,0.5939744670951232,0.7548236716018475,0.8196196827685651,0.8785693833459147,0.8934955882835307,0.9761552188935718,0.9355370298565335,0.9152514872904274,0.9747411860969796,0.6678368611254518
440,0.0,0.48765107724645296,0.0,0.01711867666859011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01186365878352068,0.0007680260225287634,0.1290935178933153,0.28466796875000006,0.024571163653222074,0.03414080902666706,0.020201148184918204,0.04774242970439797,0.08631595387458678,0.05687670154492079,0.0,0.05370298565335402,0.5408328826392645,0.06602867409014905,0.01109963861641714
447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048479847340055185,0.2717678100263852,0.3543781314088419,0.5721793867839288,0.6508693450371371,0.7407633463541666,0.18480743144628173,0.35551225753918636,0.5484525402512195,0.5521359048305694,0.6448707603404743,0.802177977498606,0.7238865474427613,0.7520356727413726,0.0,0.0,0.0
450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.955607476635514,0.9734315211898058,0.9522696929238985,0.003842285773227778,0.0,0.20876924275070743,0.13774772604059995,0.05156988521269413,0.0,0.1641855114270506,0.9182249105766717,0.9263607717874565,0.9847242249459263,1.0000000000000002,0.9835667661626268,1.0,1.0,1.0,0.9221601622256217,0.9683531233866804
451,0.0,0.9686459975477316,0.0,0.11322690260947617,0.0,0.0,0.0,0.0,0.0,0.0,0.02091338095360891,0.0,0.2951117572233327,0.35509909041624,0.05156988521269413,0.0,0.11981661773038686,0.44060255329048775,0.6743859800578411,0.8196196827685651,0.8785693833459147,0.8934955882835307,0.9406538330105936,0.9355370298565335,0.8447268793942673,0.9221601622256217,0.6678368611254518
452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07452487170891461,0.4762532981530343,0.3465901715947146,0.45608698271188475,0.05156988521269413,0.0,0.11981661773038686,0.44060255329048775,0.6743859800578411,0.8196196827685651,0.8785693833459147,0.8934955882835307,0.9406538330105936,0.9355370298565335,0.8447268793942673,0.9221601622256217,0.6678368611254518
454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048479847340055185,0.2717678100263852,0.3465901715947146,0.45608698271188475,0.05156988521269413,0.0,0.1641855114270506,0.5939744670951232,0.7548236716018475,0.8196196827685651,0.8785693833459147,0.8934955882835307,0.9761552188935718,0.9355370298565335,0.9152514872904274,0.4217866163862108,0.6678368611254518
500,0.0,0.48765107724645296,0.04172376317157303,0.0,0.04516760024895528,0.0,0.0,0.0,0.022814237239188507,0.0,0.0,0.0,0.01186365878352068,0.0007680260225287634,0.020594193112761644,0.0,0.010851834681227357,0.02899351499113037,0.020201148184918204,0.046300468637346784,0.08303615586849572,0.04952930757371995,0.0,0.048468398604110126,0.5408328826392645,0.05973175851150876,0.01109963861641714
558,0.0,0.0,0.10305722251098615,0.0,0.0,0.0,0.020968625303184413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005443956785955435,0.06070963541666667,0.0,0.005147294035536686,0.0,0.0014419610670511893,0.0032797980060910534,0.00734739397120084,0.0,0.005234587049243893,0.0,0.006296915578640292,0.0
563,0.0,0.0,0.0,0.0,0.0,0.0,0.15867303027932084,0.0,0.022814237239188507,0.0,0.0,0.0,0.01186365878352068,0.0007680260225287634,0.1290935178933153,0.27062988281250006,0.024571163653222074,0.03414080902666706,0.020201148184918204,0.04774242970439797,0.08631595387458678,0.05687670154492079,0.0,0.05370298565335402,0.5408328826392645,0.06602867409014905,0.01109963861641714
571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003842285773227778,0.0,0.20876924275070743,0.13774772604059995,0.8476958136394328,0.907958984375,0.3419358162056354,0.5939744670951232,0.7548236716018475,0.8196196827685651,0.8785693833459147,0.8934955882835307,0.9761552188935718,0.9355370298565335,0.9152514872904274,0.9747411860969796,0.6678368611254518
575,0.0,0.0,0.0,0.0,0.0,0.09562739284377789,0.0,0.0,0.0,0.0,0.0,0.0,0.01186365878352068,0.0007680260225287634,0.1290935178933153,0.28466796875000006,0.024571163653222074,0.03414080902666706,0.020201148184918204,0.04774242970439797,0.08631595387458678,0.05687670154492079,0.0,0.05370298565335402,0.5408328826392645,0.06602867409014905,0.01109963861641714
577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014956548647463833,0.0,0.2440227408426573,0.3884856333955785,0.6508693450371371,0.7407633463541666,0.18480743144628173,0.35551225753918636,0.5484525402512195,0.5521359048305694,0.6448707603404743,0.802177977498606,0.7238865474427613,0.7520356727413726,0.0,0.0,0.0
586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9345794392523364,0.7219695328857122,0.6675567423230975,0.003842285773227778,0.0,0.20876924275070743,0.06999578338654297,0.0,0.0,0.03688250141657652,0.4755285427632537,0.5157120041438253,0.7917042177361211,0.7956633781919464,0.7706563453275167,0.8546151801647872,1.0,0.92947539210384,0.4217866163862108,0.8998451213216314
587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003842285773227778,0.0,0.20876924275070743,0.13774772604059995,0.05156988521269413,0.0,0.1641855114270506,0.5939744670951232,0.7548236716018475,0.8196196827685651,0.8785693833459147,0.8934955882835307,0.9761552188935718,0.9355370298565335,0.9152514872904274,0.4217866163862108,0.6678368611254518
588,0.0,0.2744788929760028,0.0,0.031352183112136944,0.0,0.0,0.0,0.0,0.0,0.0,0.02091338095360891,0.0,0.2563017574829314,0.24679236190590928,0.0,0.0,0.04847267295111523,0.20882891790502223,0.5484525402512195,0.6609589041095889,0.6957336595777911,0.802177977498606,0.8583361810380834,0.9037902287708415,0.1533261222282315,0.6950087160695861,0.5162622612287042
589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048479847340055185,0.2717678100263852,0.29550115521403914,0.45608698271188475,0.05156988521269413,0.0,0.10115214890365563,0.35551225753918636,0.5484525402512195,0.5521359048305694,0.6448707603404743,0.802177977498606,0.7238865474427613,0.7520356727413726,0.0,0.0,0.0
599,0.0,0.0,0.0,0.0,0.0,0.09562739284377789,0.0,0.0,0.022814237239188507,0.0,0.0,0.0,0.01186365878352068,0.0007680260225287634,0.0,0.0,0.004052267380964646,0.03414080902666706,0.020201148184918204,0.04774242970439797,0.08631595387458678,0.05687670154492079,0.0,0.05370298565335402,0.5408328826392645,0.06602867409014905,0.01109963861641714
600,0.0,0.0,0.0,0.0,0.0,0.07602406517170904,0.0,0.0,0.022814237239188507,0.0,0.0,0.0,0.01186365878352068,0.0007680260225287634,0.020594193112761644,0.0,0.010851834681227357,0.02899351499113037,0.020201148184918204,0.046300468637346784,0.08303615586849572,0.04952930757371995,0.0,0.048468398604110126,0.5408328826392645,0.05973175851150876,0.01109963861641714
604,0.0,0.48765107724645296,0.0,0.0,0.0,0.07602406517170904,0.0,0.0,0.0,0.0,0.0,0.0,0.01186365878352068,0.0007680260225287634,0.020594193112761644,0.0,0.010851834681227357,0.02899351499113037,0.020201148184918204,0.046300468637346784,0.08303615586849572,0.04952930757371995,0.0,0.048468398604110126,0.5408328826392645,0.05973175851150876,0.01109963861641714
606,0.0,0.48765107724645296,0.0,0.0,0.0,0.09562739284377789,0.0,0.0,0.0,0.0,0.0,0.0,0.01186365878352068,0.0007680260225287634,0.0,0.0,0.010851834681227357,0.03414080902666706,0.020201148184918204,0.04774242970439797,0.08631595387458678,0.05687670154492079,0.0,0.05370298565335402,0.5408328826392645,0.06602867409014905,0.01109963861641714
641,0.0,0.48765107724645296,0.0,0.01711867666859011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01186365878352068,0.0007680260225287634,0.1290935178933153,0.27062988281250006,0.024571163653222074,0.03414080902666706,0.020201148184918204,0.04774242970439797,0.08631595387458678,0.05687670154492079,0.0,0.05370298565335402,0.5408328826392645,0.06602867409014905,0.01109963861641714
663,0.0,0.0,0.011718565420781552,0.0,0.0,0.019603327672068856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005443956785955435,0.0,0.0,0.005147294035536686,0.0,0.0014419610670511893,0.0032797980060910534,0.00734739397120084,0.0,0.005234587049243893,0.0,0.006296915578640292,0.0
724,0.0,0.0,0.0,0.0,0.0,0.5952387806212038,0.0,0.0,0.0,0.0,0.014956548647463833,0.0,0.20521274110225593,0.24679236190590928,0.0,0.0,0.04847267295111523,0.20882891790502223,0.5484525402512195,0.5192411679884642,0.5833615326548143,0.802177977498606,0.7238865474427613,0.7520356727413726,0.0,0.0,0.0
726,0.0,0.0,0.0,0.0,0.0,0.5952387806212038,0.0,0.0,0.0,0.0,0.0,0.0,0.11635211962306276,0.03401903499789169,0.6026755570560431,0.6915690104166666,0.18480743144628173,0.35551225753918636,0.5484525402512195,0.5521359048305694,0.6448707603404743,0.802177977498606,0.7238865474427613,0.7520356727413726,0.0,0.0,0.0
729,0.0,0.0,0.0,0.0,0.0,0.019603327672068856,0.020968625303184413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005443956785955435,0.06070963541666667,0.0,0.005147294035536686,0.0,0.0014419610670511893,0.0032797980060910534,0.00734739397120084,0.0,0.005234587049243893,0.0,0.006296915578640292,0.0
