"type","reaction","group","ppcor","igg","truth","enzyme"
"17700","glycan","G1FS_G2FS","split_group_2",0.736938058792933,"2","T","B4GALT"
"17756","glycan","G1FN_G1FNS","split_group_2",0.0346352290021823,"2","T","ST6GAL1"
"17899","glycan","G2FN_G2FNS","split_group_2",0.429277666429244,"2","T","ST6GAL1"
"17949","glycan","G1FNS_G2FNS","split_group_2",0.493193884897726,"2","T","B4GALT"
"18323","glycan","G1F_G1FS","split_group_4",0.571410133344953,"4","T","ST6GAL1"
"18551","glycan","G2F_G2FS","split_group_4",0.586568325692607,"4","T","ST6GAL1"
"18601","glycan","G1FS_G2FS","split_group_4",0.398603068678986,"4","T","B4GALT"
"18657","glycan","G1FN_G1FNS","split_group_4",-0.144441571010205,"4","T","ST6GAL1"
"18800","glycan","G2FN_G2FNS","split_group_4",0.289481399544593,"4","T","ST6GAL1"
"18850","glycan","G1FNS_G2FNS","split_group_4",0.46100717433353,"4","T","B4GALT"
"18951","glycan","G1_G1S","vis_group_1",0.000616866945378618,"1","T","ST6GAL1"
"19089","glycan","G2_G2S","vis_group_1",0.530668876999412,"1","T","ST6GAL1"
"19129","glycan","G1S_G2S","vis_group_1",0.416486230521479,"1","T","B4GALT"
"19173","glycan","G1N_G1NS","vis_group_1",-0.0299238162492717,"1","T","ST6GAL1"
"19221","glycan","G1F_G1FS","vis_group_1",0.60143500091129,"1","T","ST6GAL1"
"19361","glycan","G2N_G2NS","vis_group_1",0.311781042543869,"1","T","ST6GAL1"
"19401","glycan","G1NS_G2NS","vis_group_1",-0.0646109002843541,"1","T","B4GALT"
"19449","glycan","G2F_G2FS","vis_group_1",0.612370123791594,"1","T","ST6GAL1"
"19499","glycan","G1FS_G2FS","vis_group_1",0.475959425344808,"1","T","B4GALT"
"19555","glycan","G1FN_G1FNS","vis_group_1",0.255716804880279,"1","T","ST6GAL1"
"19698","glycan","G2FN_G2FNS","vis_group_1",0.143095729826887,"1","T","ST6GAL1"
"19748","glycan","G1FNS_G2FNS","vis_group_1",0.332414796893723,"1","T","B4GALT"
"19852","glycan","G1_G1S","vis_group_2",-0.0109329913040472,"2","T","ST6GAL1"
"19990","glycan","G2_G2S","vis_group_2",0.219711608608922,"2","T","ST6GAL1"
"20030","glycan","G1S_G2S","vis_group_2",0.647978005588518,"2","T","B4GALT"
"20074","glycan","G1N_G1NS","vis_group_2",-0.113924589481784,"2","T","ST6GAL1"
"20122","glycan","G1F_G1FS","vis_group_2",0.421531816386933,"2","T","ST6GAL1"
"20262","glycan","G2N_G2NS","vis_group_2",0.04583592831778,"2","T","ST6GAL1"
"20302","glycan","G1NS_G2NS","vis_group_2",0.168603381355174,"2","T","B4GALT"
"20350","glycan","G2F_G2FS","vis_group_2",0.524432137324359,"2","T","ST6GAL1"
"20400","glycan","G1FS_G2FS","vis_group_2",0.586206861931301,"2","T","B4GALT"
"20456","glycan","G1FN_G1FNS","vis_group_2",0.0624939548642927,"2","T","ST6GAL1"
"20599","glycan","G2FN_G2FNS","vis_group_2",0.274402449927976,"2","T","ST6GAL1"
"20649","glycan","G1FNS_G2FNS","vis_group_2",0.435211789129432,"2","T","B4GALT"
"21023","glycan","G1F_G1FS","vis_group_4",0.501131410667479,"4","T","ST6GAL1"
"21251","glycan","G2F_G2FS","vis_group_4",0.560135469014435,"4","T","ST6GAL1"
"21301","glycan","G1FS_G2FS","vis_group_4",0.439160524373614,"4","T","B4GALT"
"21357","glycan","G1FN_G1FNS","vis_group_4",-0.164716036215784,"4","T","ST6GAL1"
"21500","glycan","G2FN_G2FNS","vis_group_4",-0.301316962471581,"4","T","ST6GAL1"
"21550","glycan","G1FNS_G2FNS","vis_group_4",-0.00996452462492324,"4","T","B4GALT"
