"","Coef","naiveSE","naiveZ","robustSE","robustZ","vars","response","robustPr","data"
"smallest_motif_abundance_dropped_more.scale(X101)",-0.00851327862134213,0.0870759738030137,-0.0977683998183145,0.00480822402892812,-1.77056613213589,"X101","secretor",0.0766328780681431,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X102)",-0.00851327862134213,0.0870759738030137,-0.0977683998183145,0.00480822402892812,-1.77056613213589,"X102","secretor",0.0766328780681431,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X103)",-0.00227262869297703,0.0754400802334328,-0.030124950635589,0.00297977994531477,-0.762683397661757,"X103","secretor",0.445652234227592,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X104)",-0.00139583092686018,0.0874874971470313,-0.0159546332033519,0.00308611866198858,-0.452293343108447,"X104","secretor",0.651057670954889,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X105)",-0.00139583092686018,0.0874874971470313,-0.0159546332033519,0.00308611866198858,-0.452293343108447,"X105","secretor",0.651057670954889,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X106)",-0.00139583092686018,0.0874874971470313,-0.0159546332033519,0.00308611866198858,-0.452293343108447,"X106","secretor",0.651057670954889,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X107)",-0.00139583092686018,0.0874874971470313,-0.0159546332033519,0.00308611866198858,-0.452293343108447,"X107","secretor",0.651057670954889,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X108)",-0.00139583092686018,0.0874874971470313,-0.0159546332033519,0.00308611866198858,-0.452293343108447,"X108","secretor",0.651057670954889,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X109)",-0.00139583092686018,0.0874874971470313,-0.0159546332033519,0.00308611866198858,-0.452293343108447,"X109","secretor",0.651057670954889,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X110)",-0.00963871359580955,0.0964287718093068,-0.0999568221699498,0.00520650744036403,-1.85128201701669,"X110","secretor",0.0641289917986796,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X112)",-0.0155962377631134,0.105537676840239,-0.147778861825078,0.00835734425755635,-1.86617151124437,"X112","secretor",0.0620173735194926,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X113)",-0.00555655961972239,0.0835170945212154,-0.0665320034368639,0.00287646695900896,-1.93173073040853,"X113","secretor",0.0533927497299188,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X114)",-0.00555655961972239,0.0835170945212154,-0.0665320034368639,0.00287646695900896,-1.93173073040853,"X114","secretor",0.0533927497299188,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X115)",-0.00555655961972239,0.0835170945212154,-0.0665320034368639,0.00287646695900896,-1.93173073040853,"X115","secretor",0.0533927497299188,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X116)",-0.00555655961972239,0.0835170945212154,-0.0665320034368639,0.00287646695900896,-1.93173073040853,"X116","secretor",0.0533927497299188,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X117)",-0.00555655961972239,0.0835170945212154,-0.0665320034368639,0.00287646695900896,-1.93173073040853,"X117","secretor",0.0533927497299188,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X118)",-0.00555655961972239,0.0835170945212154,-0.0665320034368639,0.00287646695900896,-1.93173073040853,"X118","secretor",0.0533927497299188,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X119)",-0.00555655961972239,0.0835170945212154,-0.0665320034368639,0.00287646695900896,-1.93173073040853,"X119","secretor",0.0533927497299188,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X121)",-0.00779333452235157,0.0852827906629652,-0.0913822643673865,0.00419890998020448,-1.85603753333432,"X121","secretor",0.0634482083843038,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X122)",-0.00851327862134213,0.0870759738030137,-0.0977683998183145,0.00480822402892812,-1.77056613213589,"X122","secretor",0.0766328780681431,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X123)",-0.00851327862134213,0.0870759738030137,-0.0977683998183145,0.00480822402892812,-1.77056613213589,"X123","secretor",0.0766328780681431,"smallest_motif_abundance_dropped_more"
