Name,Composition [a],Supposed structures [a],P1TS [b],P1TI,P3TS,P2TS,P4TS,P4TI,P6TA-FS,P6TA-FG,P6TA-AS,P6TA-AG,P5TA-AS,P5TA-AG,P7TA-AS,P7TA-AG,P8H,P9H,P10H
1041-3,Hex2HexNAc2dHex2,Fucα1-2Galβ1-3(Fucα1-2Galβ1-3GlcNAcβ1-6)GalNAcol,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1041-4,Hex2HexNAc2dHex2,Fucα1-2Galβ1-3[Gal(Fuc)GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,1.1,0.0,0.0,4.0,0.0,0.0,0.0
1041-5,Hex2HexNAc2dHex2,Fucα1-2Galβ1-3(Fucα1-2Galβ1-4GlcNAcβ1-6)GalNAcol,51.3,6.3,5.0,2.1,5.2,22.3,3.6,10.8,23.8,8.7,0.7,2.2,15.4,7.2,21.9,35.6,17.0
1057-1,Hex3HexNAc2dHex1,Galα1-3(Fucα1-2)Galβ1-3(Galβ1-4GlcNAcβ1-6)GalNAcol,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.3
1057-2,Hex3HexNAc2dHex1,Galβ1-3[Fucα1-2(Galα1-3)Galβ-GlcNAcβ1-6]GalNAcol,0.0,2.6,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.2,4.0,0.0,0.0,0.0,0.7,0.7
1057-3,Hex3HexNAc2dHex1,Fucα1-2Galβ1-3(Galα1-3Galβ-GlcNAcβ1-6)GalNAcol,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,1.1,0.0
1081-1,NeuAc1Hex1HexNAc3,NeuAcα2-3Galβ1-3(GalNAcβ1-4GlcNAcβ1-6)GalNAcol,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1081-2,NeuAc1Hex1HexNAc3,NeuAcα2-3Gal-GlcNAcβ1-3(GlcNAcβ1-6)GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
1082,Hex1HexNAc3dHex2,GlcNAcβ1-3[Fucα1-2Gal(Fuc)GlcNAcβ1-6]GalNAcol,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1098-1,Hex2HexNAc3dHex1,Fucα1-2(GalNAcα1-3)Galβ1-4GlcNAc-Galβ1-3GalNAcol,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
1098-2,Hex2HexNAc3dHex1,Galβ1-3[Fucα1-2(GalNAcα1-3)Galβ1-4GlcNAcβ1-6]GalNAcol,0.1,2.2,0.0,0.3,0.1,1.2,0.0,3.2,2.1,1.6,0.1,3.0,0.0,0.8,0.8,0.2,0.0
1098-3,Hex2HexNAc3dHex1,Gal(Fuc)GlcNAc-Galβ1-3(GlcNAcβ1-6)GalNAcol,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
1098-4,Hex2HexNAc3dHex1,Fucα1-2(GalNAcα1-3)Galβ1-3(Galβ1-4GlcNAcβ1-6)GalNAcol,0.0,3.2,0.0,0.2,0.0,0.4,0.0,0.7,0.6,0.5,0.1,4.0,0.0,0.6,0.2,0.0,0.0
1098-5,Hex2HexNAc3dHex1,GlcNAcα1-4Galβ1-3(Fucα1-2Galβ1-4GlcNAcβ1-6)GalNAcol [d],0.5,0.6,2.2,1.4,2.9,0.0,0.2,1.0,1.5,0.0,0.1,2.2,0.0,0.5,0.5,0.0,0.4
1098-6,Hex2HexNAc3dHex1,Fucα1-2Galβ1-3(HexNAc-Galβ1-4GlcNAcβ1-6)GalNAcol,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,3.6,0.3,0.0,0.4
1098-7,Hex2HexNAc3dHex1,Fucα1-2Galβ1-3(HexNAc-Galβ1-4GlcNAcβ1-6)GalNAcol,0.3,0.3,1.7,0.6,1.2,2.4,0.0,2.3,1.8,1.3,0.3,1.9,0.0,0.0,0.0,0.0,0.0
1114-1,Hex3HexNAc3,Gal-GlcNAcβ1-3Galβ1-3(Gal-GlcNAcβ1-6)GalNAcol,0.2,0.4,5.6,0.5,0.5,0.6,2.9,0.9,0.5,3.2,0.0,2.9,0.0,0.0,1.0,0.2,0.3
