,P1TS,P1TI,P3TS,P2TS,P4TS,P4TI,P6TA_FS,P6TA_FG,P6TA_AS,P6TA_AG,P5TA_AS,P5TA_AG,P7TA_AS,P7TA_AG,P8H,P9H,P10H
L26968,0.025272989,0.004400259,0,0,0,0.012180254,0.001223727,0.009474482,0.007973344,0,0.000441514,0,0,0.001963902,0.001796406,0.003770194,0.007218674
L26969,0.019313625,0.004400259,0,0,0,0.00259113,0.001223727,0.009474482,0.007973344,0,0.000441514,0,0,0.005343516,0.001796406,0.008467974,0.001699133
L26970,0,0.076119109,0,0,0,0.062579233,0,0,0,0,0.033245824,0.082437495,0,0.034364305,0.004329966,0.141913999,0.041905302
L26973,0.014857429,0.06052867,0.058996697,0.010291033,0.026124659,0.038863749,0.079737787,0.0747102,0.014699587,0.11353783,0.08547604,0.091970077,0,0.220759459,0.056124618,0.07503047,0.082570651
L26974,0.00373311,0.026460765,0.002715338,0.00465666,0.021258809,0.002869322,0.016736112,0.018128419,0.009680068,0.019458688,0.082528598,0,0,0.197311856,0.031156602,0.017117268,0.059550118
L26975,0,0,0,0.001767692,0,0,0,0,0,0,0.000677856,0,0,0,0,0,0.003765805
L26976,0.053222014,0.065275407,0.145915604,0.238483238,0.012490829,0.031018792,0.049502576,0.02830924,0.051330395,0.07840196,0.198164836,0,0.215283492,0,0.047575083,0.034882421,0.135212197
L26977,0.000820221,0.001184616,0,0.004331212,0.006545976,0,0.001611933,0,0.000766482,0,0.000726138,0,0,0,0.00053566,0,0.002548473
L26978,0,0,0,0.005246817,0,0,0,0,0,0,0,0,0,0,0,0,0
L26979,0.003666269,0.005589937,0,0.022902964,0.020532191,0,0,0,0,0,0.01294734,0,0,0.004156478,0.003074278,0.001033253,0.009537411
L26980,0,0,0.021828131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L26981,0,0.006150325,0,0,0,0,0,0.005001228,0.006685215,0,0.000600574,0,0,0,0.001404108,0,0.003852151
L26983,0.00186476,0.019451229,0,0,0,0,0.00191834,0,0,0,0.0103938,0,0,0.00146014,0.001339334,0.003117934,0.02507226
L26984,0.005490033,0,0,0,0.003639971,0,0.032628519,0.013637091,0,0,0.007638184,0,0,0.015164603,0.014583662,0.005526367,0.022830992
